Puzzle 10x10 #1,10,10,W46aF45aQ4grd4GX1IeO5221Ae26K5ImG5CxHYHY86l15HGXGD5k4Ie81IK1OAW1XAg-9nYFIYmf14GGG18A9A8ACM5aQIaaAXaO,2239F859D8LTUWGX8a5CYWWG5A4XeYI64Y3xA5AK2mt8KKGm4qHkGaY22aY43eGW6KL-9uHF9emcWG242WG59eG5CoH9f999eX9O,12.42
Puzzle 10x10 #2,10,10,WUB9WmK9UGWAa5A3881G1x8mYBN5HL25WmW94mGA46V4HaOH5Ia1AH42P5OX2nK8F1N129P9-WAIHA6mHO1WIYH2Y9OA9f8ASCf8,1FB98659F8WKI5em4WG41l8m5BhA5gWK4X8IGm4K2Xl859O5eaIWKY42bAXC1SY4p8r8Gab9-8Ka5AXCY6WGaYY4KamH9f8HuXf8,12.44
Puzzle 10x10 #3,10,10,2MHAWWyH66YXJHKae33HYXeO36KW9LRa2I1GaAX12aAK4-1OXe1InKGK8H45KW6GaY2-2QTKGpOKGY8eYmG2Ye4x9L659cIC844m,1BA581FA665Oq5AaKmmKY6YXCmY19gsIGa24I5CGWIHe1-8mXA4I7AWK258KY4mGIY1-8crA1FOKWKWKY6GWKY1l9gmH9f9OWG1O,13.22
Puzzle 10x10 #4,10,10,87A24WYJHGQ9CGhlC5AnO4JaKGI292WH941G_WHXOaCf1t2IGaI4eeHIGBC6OmmnIXpY4eA9I8OX25C53YCYeaO46b2eAaS8ePq4,27A4225DA2qIm1T_XAHSX8J9eWI4IW1AI424t8HC39Oq1_WI4aI1e5eI4oXC3O6Z9CpAGYKaIGXCGHCKXe6HAa62Xi1eH9uWHPf8,24.24
Puzzle 10x10 #5,10,10,25954c99MYVGKmYmYY65e8e49q9m2K5HIe529YGZ4IClG9K35AG4W1mCYHH38hI4JHAWm3jXIee39QOmHA_1YmAWx528YWXS4Ge1,259A1D99BAt85OY3A5OKYGY19QIm4YHAI5AGIY1S19Ot8I5OKY24WG6m5e5O2r98cHe2XCs39eK39QXCYHV8Y6K1VeGWH8mn8WH8,13.93
Puzzle 10x10 #6,10,10,8PImK9KAa55CHYWOfW1W6mGYVGOe-1IeJ94He244K8Gn6568ZgcaIO5eII5Y2g46D6IC9AQW852XOYGY22NIC2xGHDWvIa9eH532,1B9C59A59A5OYY46q24GXC2H_Wm5-8a5QaG5eWG4YW1u3e387gJ99CHAIaKK2L8XDCImaYq24YW3OY2KW2r9O1V8Kq1v999eHeX8,24.38
Puzzle 10x10 #7,10,10,23X85a5GXYIaYh18J8CeY3X1-4ceIABB229Ye3b8AXKI9E85aIACA3eGm5a8e5W5PWy5CIDeAIWe36ISHAGHY59Cee2YIH2bu61O,1C6259A43AaaHw42q1OKYXC1-8q59eMb8WIYY3B8Ym599SGKIIKXA3e2XAIGY58KM1U5OIq5eaGYm39SYY1e5AI6KYGH9e1Pum1O,15.08
Puzzle 10x10 #8,10,10,199QCO8IIK84AA2IYACYXl2AI4-2mRHq5OHWWWeWSe8K619s259I359q5W5GmXmaGKKavbae1H3AW2HO1-8KYaKZ8u4AWeOYf9AW,199DC6199A24YYWI5A6K3x8KI1-8msKJe6KWG4YGZAGYm19j8KII6H9De2Y43OmI1e59UoI58K6Y2WHO1-8YYIHS1EWH8HOHf9eG,24.42
Puzzle 10x10 #9,10,10,1KA6IIHOIHN14988peO5HOHX35WeeILnaa9W82C34WODS1-T4I5AHY1a8aO354O9591WIHl424v1rW5u452-1WJ44kCIeW25HPHW,25A399A39Ar8GI21UHCKY3A3OKWHeaLSIIa244XCWW6Ju1-h8a5eKH8aGIXCY4X9Aa24IYt824p8r8HSWK1-8Gc21kX9eG1eHPeG,15.15
Puzzle 10x10 #10,10,10,2m7aeKH8IKfIa4d8eX2H531-G22HW_a4GaAHfXYG2Hf8-W9JePYXm2589W61AYX8WC1aX2EAmOIy2CAn393JmeK52HY9YeI4WyaO,1C79A5A19AcaI4p8HC2KYm1-8G2Y1_I2WI5AJOYG2HQ1-8IJAMK3OWH8IGmGY5O41C4I62nAXCad8mHS39OcXeHA4YH9eH981v9O,24.45
Puzzle 10x10 #11,10,10,GXOiH611WAi6YYXK-18AGa99S2WKGlbHYW98t9KeeGYI3948HNY19X9YaT28Cxe9WVYAK4W4II11eKKXXaX9aW54aH16aMpGAq2G,1C3BA6241AbCKKmH-82KWaaa78WK1_beYWI1l9eKY1AI6IWG5kK4ImIH9kWGXlAI1VAYH8WGIIWGKK5C39CII4YWaYGX9Pv8Hf8G,16.56
Puzzle 10x10 #12,10,10,4XeyP2YQHGcX14aa4Gt1CaAYGmG1mQm4VXI9-935HI8K54KWGgYWeCYA65K1eKnHm56CO9c9HC3Xagm6Ye8H56IY4b4Yq9152YY2,265FB85DA4qmWGIaW1x8X9A58m243Q61_399-9OKYIWKK2YG1gKGYXAHO5AGY5EHCHCXCIqaKXCX9g3OYYW5e39AGMGHf98H8HeG,24.63
Puzzle 10x10 #13,10,10,1aIoWeQI9e6aXKA5KOYX1XXCm1ma2W46mHx43eeEeYeAWI1WMKLC8gY9_1KH48G_496a4A8wA4Wm6CYE4-G46eIOI9GHaZnIaHX4,199B85D99A39CHeY5C5O1OXC64maW246Xet8XA5SYYHAWI24oYLO2LAIt8KKW24t8ImIWY2reG1O3O5S1-82659OaaWH9un99eX8,16.65
Puzzle 10x10 #14,10,10,8X9eZam5YWebC6AOl4I5G11GI218GctaAbGq9YCX822YNHIYAKu5YW85uKHCAaOHmV81eXa6H5I4AWlW1H9836Wz54XCaPHKY5aG,239A79C5A2HPCmKXl8IK24W2a2WG4qt9Ao4J9eXCWG4KrAI5AY7eYW2KnAHOYI6HCt84HCImKYaGY1l82Ka2m61VeGmX9PeHeH98,24.82
Puzzle 10x10 #15,10,10,8446nWe55KL3KI93XO6mOd8m4QCO29IGYO85lHXC79KYy88e4aGHmmH1e58YXYCWIX_2YMLC2mCYWa4K569E5F1pejHW697W44XG,221C785A5ALOYaIXCm3OXF8m1QXC4IaG5C4Hle3OZ9eYd8WH8IG5CmK25A2K3eX8a3x8KoLC2XCKGa2KYX9SYd8dAsH8X9uGWGmG,16.96
